# AGCNr    HIra         HIdec       v21     redshift               dist    w50   flux   snratio   loghimass   groupid   gra            gdec          gz           Mhalo_L   Mhalo_M   ngal   r180L                d_A_mpc              r180_arcmin          galid    ra              dec            z           MASS           
  217558   175.618744   21.583889   6725    0.022416666666666668   100.6   304   3.63   20.7      9.94        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   93.50444271124742    97.20845059030913    541625   175.621353528   21.587364442   0.0224465   6.7556598E9    
  217560   175.798325   19.609722   6244    0.020813333333333333   97.7    54    0.5    6.0       9.05        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   86.91650369759492    104.57647986963609   555174   175.80440621    19.61302055    0.0208185   1.95530176E8   
  210646   175.797485   20.006945   7062    0.02354                97.7    95    0.56   6.6       9.1         5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   97.44432286411005    93.27810725255122    555696   175.804487449   20.00483862    0.0234226   1.61324058E9   
  6702     175.994583   20.073891   7363    0.024543333333333334   97.7    255   2.63   19.5      9.77        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   101.97389126653151   89.13479603826683    555704   175.995642034   20.077010803   0.0245471   2.96042148E10  
  6719     176.195419   20.135555   6575    0.021916666666666668   97.7    400   1.47   7.9       9.52        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   90.66424917888635    100.25365104316559   555718   176.19598786    20.125076391   0.021744    4.0000528E10   
  6724     176.265839   19.97389    5082    0.01694                90.4    462   6.89   40.0      10.12       5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   70.7841922784962     128.4103372050767    565545   176.26615182    19.973676718   0.016883    7.7509837E10   
  217593   176.408325   21.313334   6784    0.022613333333333333   97.7    206   2.56   18.8      9.76        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   94.07282095638986    96.62112719554085    531628   176.4123153     21.318075509   0.0225872   3.00055757E9   
  210757   176.441666   20.034166   5315    0.017716666666666665   97.7    42    2.1    35.1      9.68        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   74.30888441553509    122.3194517151228    555724   176.43584051    20.030835488   0.0177386   2.00193805E9   
  210758   176.455002   20.628611   7048    0.023493333333333335   71.5    263   1.37   7.2       9.22        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   97.4209342363084     93.30050127853416    556188   176.453555551   20.628606364   0.0234168   1.08702607E10  
  6743     176.484589   21.021111   6751    0.022503333333333334   97.7    187   3.44   25.8      9.89        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   93.53029984396446    97.18157660602463    556586   176.481617419   21.025515061   0.0224529   4.7046689E10   
